x,mu2,bbar,cbar,sbar,ubar,dbar,g,d,u,s,c,b
0.0001,4,0,0.1255,0.450538,0.648211,0.649486,14.674,0.66652,0.68345,0.45035,0.1255,0
0.0001,5,0,0.17631,0.499709,0.696181,0.697504,17.392,0.71484,0.732,0.49951,0.17631,0
0.0001,10,0,0.36522,0.68402,0.87714,0.878597,26.513,0.89681,0.91463,0.68379,0.36522,0
0.0001,20,0,0.594918,0.909815,1.10001,1.1016,36.3274,1.12061,1.13901,0.909555,0.594918,0
0.0001,50,0.325731,0.940393,1.25076,1.43757,1.43936,49.3961,1.45933,1.47837,1.25046,0.940393,0.325731
0.0001,100,0.62579,1.2289,1.53622,1.72084,1.72276,59.393,1.7434,1.7629,1.5359,1.2289,0.62579
0.0001,200,0.941216,1.53398,1.83859,2.02112,2.02312,69.3814,2.04439,2.06436,1.83824,1.53398,0.941216
0.0001,500,1.37565,1.95631,2.25761,2.4377,2.43979,82.4318,2.46185,2.48239,2.25723,1.95631,1.37565
0.0001,1000,1.7132,2.2855,2.5846,2.76297,2.76518,92.111,2.7878,2.8087,2.5842,2.2855,1.7132
0.0001,2000,2.05604,2.62071,2.91771,3.09448,3.09681,101.587,3.11996,3.1412,2.91729,2.62071,2.05604
0.0001,5000,2.51388,3.06926,3.36371,3.53849,3.54098,113.764,3.5648,3.58644,3.36326,3.06926,2.51388
0.001,4,0,0.064902,0.289187,0.405371,0.410664,7.1918,0.45181,0.48464,0.28795,0.064902,0
0.001,5,0,0.089615,0.312538,0.427605,0.433075,8.3517,0.47497,0.50814,0.31126,0.089615,0
0.001,10,0,0.17583,0.394962,0.506969,0.512937,11.904,0.55697,0.59113,0.39357,0.17583,0
0.001,20,0,0.271767,0.487632,0.597078,0.603476,15.2905,0.649401,0.684467,0.486144,0.271767,0
0.001,50,0.126298,0.405268,0.617317,0.723861,0.730793,19.332,0.778974,0.815119,0.615719,0.405268,0.126298
0.001,100,0.23512,0.5086,0.7181,0.822751,0.830047,22.122,0.87977,0.91667,0.71643,0.5086,0.23512
0.001,200,0.343355,0.611915,0.819093,0.922051,0.929683,24.7155,0.980835,1.01845,0.817359,0.611915,0.343355
0.001,500,0.484004,0.746759,0.951141,1.05213,1.06017,27.8564,1.11306,1.15155,0.949332,0.746759,0.484004
0.001,1000,0.58777,0.84655,1.04896,1.14863,1.15698,30.032,1.2111,1.2502,1.0471,0.84655,0.58777
0.001,2000,0.688912,0.944039,1.14468,1.24312,1.25175,32.0502,1.30702,1.34671,1.14278,0.944039,0.688912
0.001,5000,0.818209,1.06889,1.26732,1.36424,1.37322,34.4975,1.42991,1.47033,1.26536,1.06889,0.818209
0.01,4,0,0.036091,0.174036,0.22955,0.250277,3.7043,0.35007,0.40592,0.16855,0.036091,0
0.01,5,0,0.047558,0.184058,0.23959,0.26072,4.0631,0.36176,0.41856,0.17861,0.047558,0
0.01,10,0,0.082711,0.215187,0.27077,0.29297,5.0185,0.39748,0.45706,0.20987,0.082711,0
0.01,20,0,0.116014,0.245009,0.300659,0.323749,5.76924,0.431221,0.493279,0.239836,0.116014,0
0.01,50,0.039944,0.156817,0.281738,0.337469,0.361547,6.49988,0.472436,0.537475,0.276761,0.156817,0.039944
0.01,100,0.070969,0.18477,0.306976,0.36275,0.38746,6.9133,0.50061,0.56769,0.30215,0.18477,0.070969
0.01,200,0.0993641,0.210404,0.330132,0.385941,0.411216,7.24595,0.526396,0.595371,0.325455,0.210404,0.0993641
0.01,500,0.13322,0.240998,0.357747,0.413601,0.439506,7.58799,0.557095,0.628378,0.353263,0.240998,0.13322
0.01,1000,0.15635,0.2619,0.376592,0.43246,0.45879,7.7894,0.57802,0.65092,0.37225,0.2619,0.15635
0.01,2000,0.177574,0.281071,0.393843,0.449719,0.476433,7.95134,0.597164,0.67158,0.389639,0.281071,0.177574
0.01,5000,0.203023,0.304034,0.414458,0.470331,0.49748,8.11669,0.620037,0.696326,0.410429,0.304034,0.203023
