x,mu2,time_per_call_ns
0.0001,4,304
0.0001,5,305
0.0001,10,341
0.0001,20,244
0.0001,50,320
0.0001,100,263
0.0001,200,298
0.0001,500,262
0.0001,1000,286
0.0001,2000,310
0.0001,5000,283
0.001,4,305
0.001,5,272
0.001,10,322
0.001,20,274
0.001,50,275
0.001,100,262
0.001,200,283
0.001,500,277
0.001,1000,292
0.001,2000,297
0.001,5000,315
0.01,4,253
0.01,5,318
0.01,10,288
0.01,20,223
0.01,50,294
0.01,100,313
0.01,200,260
0.01,500,345
0.01,1000,289
0.01,2000,297
0.01,5000,266
0.1,4,303
0.1,5,300
0.1,10,283
0.1,20,230
0.1,50,291
0.1,100,304
0.1,200,304
0.1,500,281
0.1,1000,273
0.1,2000,279
0.1,5000,304
0.2,4,317
0.2,5,328
0.2,10,313
0.2,20,303
0.2,50,296
0.2,100,274
0.2,200,292
0.2,500,278
0.2,1000,316
0.2,2000,263
0.2,5000,290
0.3,4,307
0.3,5,295
0.3,10,307
0.3,20,307
0.3,50,253
0.3,100,294
0.3,200,355
0.3,500,287
0.3,1000,266
0.3,2000,303
0.3,5000,258
0.4,4,277
0.4,5,267
0.4,10,296
0.4,20,276
0.4,50,355
0.4,100,306
0.4,200,283
0.4,500,295
0.4,1000,284
0.4,2000,271
0.4,5000,271
0.5,4,271
0.5,5,250
0.5,10,280
0.5,20,248
0.5,50,306
0.5,100,315
0.5,200,312
0.5,500,265
0.5,1000,323
0.5,2000,291
0.5,5000,256
0.6,4,297
0.6,5,322
0.6,10,306
0.6,20,263
0.6,50,278
0.6,100,246
0.6,200,360
0.6,500,285
0.6,1000,284
0.6,2000,305
0.6,5000,321
0.7,4,280
0.7,5,293
0.7,10,292
0.7,20,255
0.7,50,282
0.7,100,271
0.7,200,274
0.7,500,329
0.7,1000,268
0.7,2000,311
0.7,5000,263
0.8,4,277
0.8,5,274
0.8,10,258
0.8,20,276
0.8,50,265
0.8,100,279
0.8,200,302
0.8,500,293
0.8,1000,330
0.8,2000,347
0.8,5000,277
