x,mu2,time_per_call_ns
0.0001,4,448
0.0001,5,494
0.0001,10,455
0.0001,20,374
0.0001,50,491
0.0001,100,424
0.0001,200,428
0.0001,500,466
0.0001,1000,397
0.0001,2000,453
0.0001,5000,413
0.001,4,450
0.001,5,521
0.001,10,474
0.001,20,358
0.001,50,436
0.001,100,436
0.001,200,401
0.001,500,443
0.001,1000,416
0.001,2000,432
0.001,5000,429
0.01,4,414
0.01,5,445
0.01,10,545
0.01,20,392
0.01,50,443
0.01,100,496
0.01,200,465
0.01,500,421
0.01,1000,439
0.01,2000,430
0.01,5000,412
0.1,4,399
0.1,5,456
0.1,10,526
0.1,20,390
0.1,50,465
0.1,100,426
0.1,200,446
0.1,500,473
0.1,1000,423
0.1,2000,439
0.1,5000,462
0.2,4,424
0.2,5,461
0.2,10,432
0.2,20,387
0.2,50,495
0.2,100,437
0.2,200,564
0.2,500,429
0.2,1000,433
0.2,2000,443
0.2,5000,503
0.3,4,479
0.3,5,495
0.3,10,646
0.3,20,446
0.3,50,402
0.3,100,511
0.3,200,447
0.3,500,414
0.3,1000,469
0.3,2000,564
0.3,5000,465
0.4,4,439
0.4,5,417
0.4,10,406
0.4,20,413
0.4,50,452
0.4,100,446
0.4,200,469
0.4,500,450
0.4,1000,486
0.4,2000,445
0.4,5000,477
0.5,4,497
0.5,5,403
0.5,10,526
0.5,20,426
0.5,50,497
0.5,100,390
0.5,200,456
0.5,500,461
0.5,1000,444
0.5,2000,461
0.5,5000,458
0.6,4,489
0.6,5,481
0.6,10,458
0.6,20,363
0.6,50,421
0.6,100,445
0.6,200,409
0.6,500,449
0.6,1000,501
0.6,2000,558
0.6,5000,606
0.7,4,527
0.7,5,447
0.7,10,493
0.7,20,454
0.7,50,431
0.7,100,451
0.7,200,470
0.7,500,430
