x,mu2,time_per_call_ns
0.0001,4,235
0.0001,5,207
0.0001,10,250
0.0001,20,244
0.0001,50,263
0.0001,100,207
0.0001,200,202
0.0001,500,204
0.0001,1000,204
0.0001,2000,211
0.0001,5000,225
0.001,4,215
0.001,5,204
0.001,10,205
0.001,20,178
0.001,50,203
0.001,100,211
0.001,200,208
0.001,500,208
0.001,1000,206
0.001,2000,234
0.001,5000,202
0.01,4,206
0.01,5,232
0.01,10,211
0.01,20,185
0.01,50,206
0.01,100,208
0.01,200,211
0.01,500,206
0.01,1000,236
0.01,2000,213
0.01,5000,201
0.1,4,203
0.1,5,203
0.1,10,214
0.1,20,178
0.1,50,203
0.1,100,213
0.1,200,200
0.1,500,216
0.1,1000,218
0.1,2000,206
0.1,5000,210
0.2,4,203
0.2,5,226
0.2,10,204
0.2,20,180
0.2,50,210
0.2,100,204
0.2,200,229
0.2,500,221
0.2,1000,212
0.2,2000,207
0.2,5000,204
0.3,4,206
0.3,5,204
0.3,10,212
0.3,20,184
0.3,50,204
0.3,100,212
0.3,200,212
0.3,500,206
0.3,1000,201
0.3,2000,219
0.3,5000,206
0.4,4,221
0.4,5,205
0.4,10,204
0.4,20,180
0.4,50,204
0.4,100,226
0.4,200,208
0.4,500,204
0.4,1000,207
0.4,2000,205
0.4,5000,205
0.5,4,206
0.5,5,205
0.5,10,210
0.5,20,181
0.5,50,238
0.5,100,205
0.5,200,204
0.5,500,208
0.5,1000,204
0.5,2000,210
0.5,5000,206
0.6,4,224
0.6,5,206
0.6,10,3151
0.6,20,195
0.6,50,199
0.6,100,210
0.6,200,206
0.6,500,211
0.6,1000,305
0.6,2000,206
0.6,5000,205
0.7,4,225
0.7,5,253
0.7,10,210
0.7,20,196
0.7,50,213
0.7,100,199
0.7,200,206
0.7,500,208
0.7,1000,207
0.7,2000,206
0.7,5000,205
0.8,4,219
0.8,5,214
0.8,10,206
0.8,20,182
0.8,50,210
0.8,100,204
0.8,200,216
0.8,500,205
0.8,1000,202
0.8,2000,204
0.8,5000,226
