x,mu2,time_per_call_ns
0.0001,4,90
0.0001,5,109
0.0001,10,89
0.0001,20,85
0.0001,50,87
0.0001,100,87
0.0001,200,89
0.0001,500,86
0.0001,1000,91
0.0001,2000,87
0.0001,5000,85
0.001,4,83
0.001,5,88
0.001,10,86
0.001,20,86
0.001,50,89
0.001,100,86
0.001,200,84
0.001,500,141
0.001,1000,86
0.001,2000,84
0.001,5000,83
0.01,4,86
0.01,5,86
0.01,10,85
0.01,20,87
0.01,50,86
0.01,100,83
0.01,200,85
0.01,500,103
0.01,1000,87
0.01,2000,88
0.01,5000,87
0.1,4,84
0.1,5,88
0.1,10,116
0.1,20,85
0.1,50,86
0.1,100,88
0.1,200,87
0.1,500,94
0.1,1000,94
0.1,2000,87
0.1,5000,85
0.2,4,87
0.2,5,86
0.2,10,120
0.2,20,85
0.2,50,86
0.2,100,87
0.2,200,86
0.2,500,91
0.2,1000,100
0.2,2000,86
0.2,5000,83
0.3,4,94
0.3,5,90
0.3,10,86
0.3,20,88
0.3,50,87
0.3,100,88
0.3,200,91
0.3,500,90
0.3,1000,88
0.3,2000,99
0.3,5000,85
0.4,4,87
0.4,5,87
0.4,10,3023
0.4,20,84
0.4,50,86
0.4,100,87
0.4,200,85
0.4,500,90
0.4,1000,121
0.4,2000,93
0.4,5000,93
0.5,4,92
0.5,5,88
0.5,10,86
0.5,20,111
0.5,50,85
0.5,100,85
0.5,200,86
0.5,500,87
0.5,1000,87
0.5,2000,86
0.5,5000,86
0.6,4,84
0.6,5,87
0.6,10,86
0.6,20,94
0.6,50,85
0.6,100,85
0.6,200,88
0.6,500,88
0.6,1000,89
0.6,2000,98
0.6,5000,86
0.7,4,85
0.7,5,85
0.7,10,85
0.7,20,106
0.7,50,100
0.7,100,87
0.7,200,86
0.7,500,87
0.7,1000,91
0.7,2000,101
0.7,5000,85
0.8,4,85
0.8,5,89
0.8,10,88
0.8,20,90
0.8,50,89
0.8,100,87
0.8,200,86
0.8,500,88
0.8,1000,91
0.8,2000,87
0.8,5000,85
