x,mu2,time_per_call_ns
0.0001,4,200
0.0001,5,221
0.0001,10,317
0.0001,20,190
0.0001,50,197
0.0001,100,197
0.0001,200,201
0.0001,500,206
0.0001,1000,235
0.0001,2000,204
0.0001,5000,198
0.001,4,203
0.001,5,198
0.001,10,205
0.001,20,192
0.001,50,203
0.001,100,212
0.001,200,207
0.001,500,232
0.001,1000,199
0.001,2000,198
0.001,5000,220
0.01,4,204
0.01,5,201
0.01,10,204
0.01,20,192
0.01,50,201
0.01,100,203
0.01,200,217
0.01,500,204
0.01,1000,197
0.01,2000,221
0.01,5000,208
0.1,4,201
0.1,5,198
0.1,10,206
0.1,20,191
0.1,50,202
0.1,100,261
0.1,200,214
0.1,500,199
0.1,1000,200
0.1,2000,201
0.1,5000,207
0.2,4,203
0.2,5,209
0.2,10,199
0.2,20,189
0.2,50,221
0.2,100,200
0.2,200,202
0.2,500,203
0.2,1000,204
0.2,2000,202
0.2,5000,198
0.3,4,200
0.3,5,199
0.3,10,215
0.3,20,202
0.3,50,213
0.3,100,206
0.3,200,203
0.3,500,199
0.3,1000,198
0.3,2000,217
0.3,5000,196
0.4,4,198
0.4,5,200
0.4,10,199
0.4,20,222
0.4,50,199
0.4,100,203
0.4,200,204
0.4,500,202
0.4,1000,218
0.4,2000,201
0.4,5000,194
0.5,4,199
0.5,5,201
0.5,10,234
0.5,20,190
0.5,50,204
0.5,100,215
0.5,200,197
0.5,500,202
0.5,1000,199
0.5,2000,207
0.5,5000,199
0.6,4,200
0.6,5,240
0.6,10,204
0.6,20,190
0.6,50,196
0.6,100,200
0.6,200,201
0.6,500,202
0.6,1000,207
0.6,2000,206
0.6,5000,202
0.7,4,230
0.7,5,203
0.7,10,203
0.7,20,194
0.7,50,218
0.7,100,201
0.7,200,200
0.7,500,201
0.7,1000,197
0.7,2000,201
0.7,5000,256
0.8,4,217
0.8,5,197
0.8,10,200
0.8,20,188
0.8,50,199
0.8,100,201
0.8,200,201
0.8,500,222
0.8,1000,207
0.8,2000,219
0.8,5000,202
