x,mu2,time_per_call_ns
0.0001,4,181
0.0001,5,173
0.0001,10,172
0.0001,20,153
0.0001,50,169
0.0001,100,176
0.0001,200,179
0.0001,500,200
0.0001,1000,172
0.0001,2000,183
0.0001,5000,173
0.001,4,169
0.001,5,171
0.001,10,173
0.001,20,154
0.001,50,176
0.001,100,172
0.001,200,180
0.001,500,176
0.001,1000,168
0.001,2000,170
0.001,5000,210
0.01,4,169
0.01,5,175
0.01,10,174
0.01,20,153
0.01,50,189
0.01,100,174
0.01,200,171
0.01,500,172
0.01,1000,171
0.01,2000,187
0.01,5000,171
0.1,4,171
0.1,5,188
0.1,10,185
0.1,20,174
0.1,50,172
0.1,100,178
0.1,200,171
0.1,500,178
0.1,1000,169
0.1,2000,171
0.1,5000,187
0.2,4,169
0.2,5,169
0.2,10,169
0.2,20,153
0.2,50,171
0.2,100,170
0.2,200,216
0.2,500,183
0.2,1000,171
0.2,2000,171
0.2,5000,172
0.3,4,171
0.3,5,172
0.3,10,177
0.3,20,155
0.3,50,171
0.3,100,177
0.3,200,172
0.3,500,170
0.3,1000,173
0.3,2000,172
0.3,5000,219
0.4,4,171
0.4,5,171
0.4,10,179
0.4,20,157
0.4,50,168
0.4,100,167
0.4,200,173
0.4,500,169
0.4,1000,173
0.4,2000,176
0.4,5000,171
0.5,4,177
0.5,5,174
0.5,10,205
0.5,20,154
0.5,50,170
0.5,100,174
0.5,200,171
0.5,500,180
0.5,1000,189
0.5,2000,176
0.5,5000,168
0.6,4,171
0.6,5,172
0.6,10,170
0.6,20,158
0.6,50,168
0.6,100,173
0.6,200,216
0.6,500,173
0.6,1000,168
0.6,2000,171
0.6,5000,171
0.7,4,172
0.7,5,183
0.7,10,171
0.7,20,160
0.7,50,183
0.7,100,171
0.7,200,170
0.7,500,170
0.7,1000,175
0.7,2000,191
0.7,5000,187
0.8,4,172
0.8,5,174
0.8,10,174
0.8,20,152
0.8,50,170
0.8,100,171
0.8,200,171
0.8,500,175
0.8,1000,176
0.8,2000,171
0.8,5000,192
