x,mu2,time_per_call_ns
0.0001,4,60
0.0001,5,63
0.0001,10,61
0.0001,20,54
0.0001,50,61
0.0001,100,61
0.0001,200,59
0.0001,500,65
0.0001,1000,73
0.0001,2000,60
0.0001,5000,60
0.001,4,61
0.001,5,60
0.001,10,63
0.001,20,49
0.001,50,62
0.001,100,60
0.001,200,62
0.001,500,59
0.001,1000,63
0.001,2000,58
0.001,5000,197
0.01,4,62
0.01,5,60
0.01,10,61
0.01,20,59
0.01,50,83
0.01,100,61
0.01,200,58
0.01,500,68
0.01,1000,77
0.01,2000,60
0.01,5000,59
0.1,4,63
0.1,5,60
0.1,10,61
0.1,20,51
0.1,50,59
0.1,100,62
0.1,200,62
0.1,500,60
0.1,1000,62
0.1,2000,59
0.1,5000,63
0.2,4,59
0.2,5,68
0.2,10,66
0.2,20,49
0.2,50,60
0.2,100,61
0.2,200,63
0.2,500,61
0.2,1000,63
0.2,2000,61
0.2,5000,72
0.3,4,63
0.3,5,58
0.3,10,59
0.3,20,50
0.3,50,59
0.3,100,60
0.3,200,59
0.3,500,63
0.3,1000,59
0.3,2000,62
0.3,5000,58
0.4,4,94
0.4,5,65
0.4,10,59
0.4,20,51
0.4,50,60
0.4,100,60
0.4,200,60
0.4,500,64
0.4,1000,60
0.4,2000,63
0.4,5000,59
0.5,4,64
0.5,5,76
0.5,10,64
0.5,20,48
0.5,50,61
0.5,100,61
0.5,200,61
0.5,500,61
0.5,1000,64
0.5,2000,59
0.5,5000,61
0.6,4,61
0.6,5,62
0.6,10,60
0.6,20,52
0.6,50,60
0.6,100,65
0.6,200,70
0.6,500,63
0.6,1000,58
0.6,2000,64
0.6,5000,59
0.7,4,64
0.7,5,60
0.7,10,68
0.7,20,56
0.7,50,76
0.7,100,85
0.7,200,80
0.7,500,89
0.7,1000,61
0.7,2000,60
0.7,5000,63
0.8,4,59
0.8,5,62
0.8,10,60
0.8,20,52
0.8,50,59
0.8,100,61
0.8,200,64
0.8,500,62
0.8,1000,73
0.8,2000,59
0.8,5000,63
