x,kt2,mu2,time_per_call_ns
0.0001,1,4,842
0.0001,1,5,1085
0.0001,1,10,1217
0.0001,1,20,1164
0.0001,1,50,909
0.0001,1,100,1100
0.0001,1,200,1383
0.0001,1,500,1243
0.0001,1,1000,920
0.0001,1,2000,930
0.0001,1,5000,1013
0.0001,2,4,890
0.0001,2,5,866
0.0001,2,10,792
0.0001,2,20,861
0.0001,2,50,849
0.0001,2,100,776
0.0001,2,200,892
0.0001,2,500,861
0.0001,2,1000,813
0.0001,2,2000,829
0.0001,2,5000,890
0.0001,5,4,894
0.0001,5,5,932
0.0001,5,10,904
0.0001,5,20,930
0.0001,5,50,914
0.0001,5,100,840
0.0001,5,200,951
0.0001,5,500,921
0.0001,5,1000,862
0.0001,5,2000,919
0.0001,5,5000,924
0.0001,10,4,813
0.0001,10,5,883
0.0001,10,10,932
0.0001,10,20,1072
0.0001,10,50,872
0.0001,10,100,767
0.0001,10,200,914
0.0001,10,500,946
0.0001,10,1000,789
0.0001,10,2000,872
0.0001,10,5000,887
0.0001,20,4,848
0.0001,20,5,883
0.0001,20,10,815
0.0001,20,20,894
0.0001,20,50,864
0.0001,20,100,762
0.0001,20,200,885
0.0001,20,500,949
0.0001,20,1000,806
0.0001,20,2000,921
0.0001,20,5000,901
0.0001,50,4,868
0.0001,50,5,904
0.0001,50,10,925
0.0001,50,20,955
0.0001,50,50,906
0.0001,50,100,805
0.0001,50,200,941
0.0001,50,500,898
0.0001,50,1000,829
0.0001,50,2000,1125
0.0001,50,5000,1030
0.0001,100,4,847
0.0001,100,5,887
0.0001,100,10,844
0.0001,100,20,903
0.0001,100,50,888
0.0001,100,100,757
0.0001,100,200,902
0.0001,100,500,1045
0.0001,100,1000,888
0.0001,100,2000,893
0.0001,100,5000,901
0.0001,200,4,866
0.0001,200,5,898
0.0001,200,10,825
0.0001,200,20,909
0.0001,200,50,908
0.0001,200,100,862
0.0001,200,200,897
0.0001,200,500,889
0.0001,200,1000,910
0.0001,200,2000,949
0.0001,200,5000,934
0.0001,500,4,840
0.0001,500,5,862
0.0001,500,10,936
0.0001,500,20,938
0.0001,500,50,877
0.0001,500,100,1124
0.0001,500,200,894
0.0001,500,500,850
0.0001,500,1000,804
0.0001,500,2000,898
0.0001,500,5000,907
0.0001,1000,4,852
0.0001,1000,5,898
0.0001,1000,10,974
0.0001,1000,20,925
0.0001,1000,50,893
0.0001,1000,100,832
0.0001,1000,200,923
0.0001,1000,500,918
0.0001,1000,1000,924
0.0001,1000,2000,904
0.0001,1000,5000,922
0.0001,2000,4,802
0.0001,2000,5,834
0.0001,2000,10,762
0.0001,2000,20,832
0.0001,2000,50,830
0.0001,2000,100,767
0.0001,2000,200,880
0.0001,2000,500,838
0.0001,2000,1000,897
0.0001,2000,2000,30827
0.0001,2000,5000,864
0.0001,5000,4,880
0.0001,5000,5,1238
0.0001,5000,10,896
0.0001,5000,20,994
0.0001,5000,50,908
0.0001,5000,100,801
0.0001,5000,200,918
0.0001,5000,500,912
0.0001,5000,1000,838
0.0001,5000,2000,927
0.0001,5000,5000,949
0.001,1,4,857
0.001,1,5,890
0.001,1,10,917
0.001,1,20,947
0.001,1,50,1005
0.001,1,100,864
0.001,1,200,919
0.001,1,500,913
0.001,1,1000,965
0.001,1,2000,926
0.001,1,5000,924
0.001,2,4,806
0.001,2,5,835
0.001,2,10,767
0.001,2,20,824
0.001,2,50,834
0.001,2,100,729
0.001,2,200,841
0.001,2,500,817
0.001,2,1000,1193
0.001,2,2000,854
0.001,2,5000,874
0.001,5,4,869
0.001,5,5,894
0.001,5,10,856
0.001,5,20,1056
0.001,5,50,892
0.001,5,100,826
0.001,5,200,927
0.001,5,500,896
0.001,5,1000,884
0.001,5,2000,934
0.001,5,5000,931
0.001,10,4,819
0.001,10,5,863
0.001,10,10,818
0.001,10,20,971
0.001,10,50,834
0.001,10,100,1455
0.001,10,200,1514
0.001,10,500,839
0.001,10,1000,805
0.001,10,2000,952
0.001,10,5000,887
0.001,20,4,843
0.001,20,5,859
0.001,20,10,1022
0.001,20,20,988
0.001,20,50,890
0.001,20,100,794
0.001,20,200,879
0.001,20,500,862
0.001,20,1000,856
0.001,20,2000,940
0.001,20,5000,903
0.001,50,4,877
0.001,50,5,869
0.001,50,10,856
0.001,50,20,1041
0.001,50,50,905
0.001,50,100,817
0.001,50,200,932
0.001,50,500,901
0.001,50,1000,880
0.001,50,2000,929
0.001,50,5000,932
0.001,100,4,815
0.001,100,5,837
0.001,100,10,790
0.001,100,20,910
0.001,100,50,856
0.001,100,100,763
0.001,100,200,873
0.001,100,500,849
0.001,100,1000,818
0.001,100,2000,1126
0.001,100,5000,1074
0.001,200,4,877
0.001,200,5,879
