x,mu2,time_per_call_ns
0.0001,4,64
0.0001,5,68
0.0001,10,64
0.0001,20,47
0.0001,50,68
0.0001,100,73
0.0001,200,62
0.0001,500,62
0.0001,1000,65
0.0001,2000,70
0.0001,5000,63
0.001,4,66
0.001,5,63
0.001,10,111
0.001,20,57
0.001,50,62
0.001,100,65
0.001,200,64
0.001,500,64
0.001,1000,65
0.001,2000,63
0.001,5000,63
0.01,4,65
0.01,5,65
0.01,10,64
0.01,20,49
0.01,50,67
0.01,100,63
0.01,200,79
0.01,500,65
0.01,1000,66
0.01,2000,67
0.01,5000,67
0.1,4,61
0.1,5,64
0.1,10,69
0.1,20,53
0.1,50,67
0.1,100,66
0.1,200,63
0.1,500,64
0.1,1000,63
0.1,2000,69
0.1,5000,66
0.2,4,62
0.2,5,66
0.2,10,66
0.2,20,47
0.2,50,64
0.2,100,65
0.2,200,66
0.2,500,75
0.2,1000,98
0.2,2000,66
0.2,5000,66
0.3,4,62
0.3,5,65
0.3,10,69
0.3,20,59
0.3,50,64
0.3,100,66
0.3,200,62
0.3,500,65
0.3,1000,64
0.3,2000,64
0.3,5000,66
0.4,4,61
0.4,5,65
0.4,10,64
0.4,20,49
0.4,50,64
0.4,100,62
0.4,200,66
0.4,500,69
0.4,1000,67
0.4,2000,68
0.4,5000,63
0.5,4,69
0.5,5,63
0.5,10,62
0.5,20,51
0.5,50,83
0.5,100,63
0.5,200,64
0.5,500,66
0.5,1000,68
0.5,2000,65
0.5,5000,65
0.6,4,63
0.6,5,66
0.6,10,74
0.6,20,77
0.6,50,66
0.6,100,63
0.6,200,63
0.6,500,73
0.6,1000,69
0.6,2000,65
0.6,5000,65
0.7,4,65
0.7,5,66
0.7,10,66
0.7,20,49
0.7,50,85
0.7,100,70
0.7,200,68
0.7,500,64
0.7,1000,65
0.7,2000,66
0.7,5000,65
0.8,4,64
0.8,5,61
0.8,10,196
0.8,20,49
0.8,50,65
0.8,100,63
0.8,200,67
0.8,500,67
0.8,1000,62
0.8,2000,62
0.8,5000,65
