x,kt2,mu2,time_per_call_ns
0.0001,1,4,1066
0.0001,1,5,1101
0.0001,1,10,1424
0.0001,1,20,1291
0.0001,1,50,1224
0.0001,1,100,1323
0.0001,1,200,1190
0.0001,1,500,1077
0.0001,1,1000,982
0.0001,1,2000,1099
0.0001,1,5000,1126
0.0001,2,4,978
0.0001,2,5,1031
0.0001,2,10,988
0.0001,2,20,1054
0.0001,2,50,1028
0.0001,2,100,999
0.0001,2,200,1034
0.0001,2,500,997
0.0001,2,1000,906
0.0001,2,2000,1134
0.0001,2,5000,1271
0.0001,5,4,1029
0.0001,5,5,1094
0.0001,5,10,993
0.0001,5,20,1073
0.0001,5,50,1049
0.0001,5,100,967
0.0001,5,200,1106
0.0001,5,500,1051
0.0001,5,1000,1015
0.0001,5,2000,1093
0.0001,5,5000,1086
0.0001,10,4,982
0.0001,10,5,1006
0.0001,10,10,970
0.0001,10,20,1042
0.0001,10,50,1000
0.0001,10,100,927
0.0001,10,200,1059
0.0001,10,500,1033
0.0001,10,1000,985
0.0001,10,2000,1053
0.0001,10,5000,1042
0.0001,20,4,1008
0.0001,20,5,1174
0.0001,20,10,1044
0.0001,20,20,2506
0.0001,20,50,30434
0.0001,20,100,956
0.0001,20,200,1067
0.0001,20,500,1043
0.0001,20,1000,983
0.0001,20,2000,1057
0.0001,20,5000,1051
0.0001,50,4,1014
0.0001,50,5,1072
0.0001,50,10,1006
0.0001,50,20,1091
0.0001,50,50,1044
0.0001,50,100,1047
0.0001,50,200,1090
0.0001,50,500,1071
0.0001,50,1000,1010
0.0001,50,2000,1090
0.0001,50,5000,1093
0.0001,100,4,993
0.0001,100,5,990
0.0001,100,10,998
0.0001,100,20,1354
0.0001,100,50,981
0.0001,100,100,943
0.0001,100,200,1064
0.0001,100,500,1032
0.0001,100,1000,1021
0.0001,100,2000,1051
0.0001,100,5000,1087
0.0001,200,4,1011
0.0001,200,5,1055
0.0001,200,10,981
0.0001,200,20,1086
0.0001,200,50,1044
0.0001,200,100,982
0.0001,200,200,1090
0.0001,200,500,1041
0.0001,200,1000,996
0.0001,200,2000,1074
0.0001,200,5000,1087
0.0001,500,4,997
0.0001,500,5,1020
0.0001,500,10,979
0.0001,500,20,1086
0.0001,500,50,1018
0.0001,500,100,1012
0.0001,500,200,1221
0.0001,500,500,1044
0.0001,500,1000,959
0.0001,500,2000,1069
0.0001,500,5000,1065
0.0001,1000,4,1003
0.0001,1000,5,1039
0.0001,1000,10,1001
0.0001,1000,20,1066
0.0001,1000,50,1040
0.0001,1000,100,941
0.0001,1000,200,1073
0.0001,1000,500,1058
0.0001,1000,1000,1007
0.0001,1000,2000,1150
0.0001,1000,5000,1237
0.0001,2000,4,931
0.0001,2000,5,978
0.0001,2000,10,907
0.0001,2000,20,1003
0.0001,2000,50,968
0.0001,2000,100,961
0.0001,2000,200,1014
0.0001,2000,500,986
0.0001,2000,1000,1086
0.0001,2000,2000,1146
0.0001,2000,5000,1045
0.0001,5000,4,1055
0.0001,5000,5,1041
0.0001,5000,10,1017
0.0001,5000,20,1075
0.0001,5000,50,1020
0.0001,5000,100,961
0.0001,5000,200,1057
0.0001,5000,500,1027
0.0001,5000,1000,1027
0.0001,5000,2000,1083
0.0001,5000,5000,1084
0.001,1,4,1017
0.001,1,5,1041
0.001,1,10,979
0.001,1,20,1090
0.001,1,50,1066
0.001,1,100,948
0.001,1,200,1090
0.001,1,500,1042
0.001,1,1000,983
0.001,1,2000,1075
0.001,1,5000,1057
0.001,2,4,1164
0.001,2,5,1066
0.001,2,10,944
0.001,2,20,1045
0.001,2,50,966
0.001,2,100,905
0.001,2,200,1017
0.001,2,500,965
0.001,2,1000,953
0.001,2,2000,1027
0.001,2,5000,1037
0.001,5,4,1076
0.001,5,5,1044
0.001,5,10,977
0.001,5,20,1088
0.001,5,50,1043
0.001,5,100,990
0.001,5,200,1064
0.001,5,500,1065
0.001,5,1000,995
0.001,5,2000,1103
0.001,5,5000,1063
0.001,10,4,1003
0.001,10,5,1014
0.001,10,10,955
0.001,10,20,1160
0.001,10,50,1196
0.001,10,100,929
0.001,10,200,1127
0.001,10,500,1037
0.001,10,1000,945
0.001,10,2000,1054
0.001,10,5000,1032
0.001,20,4,994
0.001,20,5,1068
0.001,20,10,970
0.001,20,20,1085
0.001,20,50,1031
0.001,20,100,1023
0.001,20,200,1048
0.001,20,500,1068
0.001,20,1000,1006
0.001,20,2000,1083
0.001,20,5000,1129
0.001,50,4,1023
0.001,50,5,1075
0.001,50,10,978
0.001,50,20,1073
0.001,50,50,1050
0.001,50,100,1076
0.001,50,200,1391
0.001,50,500,1063
0.001,50,1000,1055
0.001,50,2000,1143
0.001,50,5000,1107
0.001,100,4,1004
0.001,100,5,1086
0.001,100,10,1056
0.001,100,20,1117
0.001,100,50,1028
0.001,100,100,923
0.001,100,200,1015
0.001,100,500,1019
0.001,100,1000,980
0.001,100,2000,1087
0.001,100,5000,1059
0.001,200,4,1032
0.001,200,5,1024
0.001,200,10,995
0.001,200,20,1085
0.001,200,50,1041
0.001,200,100,1121
0.001,200,200,1075
0.001,200,500,1042
0.001,200,1000,1134
0.001,200,2000,1158
0.001,200,5000,1083
0.001,500,4,968
0.001,500,5,1026
0.001,500,10,970
0.001,500,20,1164
0.001,500,50,1026
0.001,500,100,1098
0.001,500,200,1054
0.001,500,500,1056
0.001,500,1000,1081
0.001,500,2000,1062
0.001,500,5000,1063
0.001,1000,4,1007
0.001,1000,5,1031
0.001,1000,10,999
0.001,1000,20,1050
0.001,1000,50,1018
0.001,1000,100,971
0.001,1000,200,1151
0.001,1000,500,1044
0.001,1000,1000,1012
0.001,1000,2000,1128
0.001,1000,5000,1126
0.001,2000,4,1510
0.001,2000,5,997
0.001,2000,10,939
0.001,2000,20,985
0.001,2000,50,988
0.001,2000,100,902
0.001,2000,200,1023
0.001,2000,500,979
0.001,2000,1000,946
0.001,2000,2000,1012
0.001,2000,5000,1120
0.001,5000,4,1033
0.001,5000,5,1064
0.001,5000,10,980
0.001,5000,20,1143
0.001,5000,50,1103
0.001,5000,100,949
0.001,5000,200,1069
0.001,5000,500,1063
0.001,5000,1000,1024
0.001,5000,2000,1080
0.001,5000,5000,1085
0.01,1,4,986
0.01,1,5,1032
0.01,1,10,1075
0.01,1,20,1287
0.01,1,50,1053
0.01,1,100,942
0.01,1,200,1078
0.01,1,500,1077
0.01,1,1000,964
0.01,1,2000,1082
0.01,1,5000,1057
0.01,2,4,955
0.01,2,5,950
0.01,2,10,938
0.01,2,20,976
0.01,2,50,983
0.01,2,100,902
0.01,2,200,1004
0.01,2,500,978
0.01,2,1000,922
0.01,2,2000,989
0.01,2,5000,991
0.01,5,4,1112
0.01,5,5,1036
0.01,5,10,986
0.01,5,20,1091
0.01,5,50,1035
0.01,5,100,965
0.01,5,200,1261
0.01,5,500,1126
0.01,5,1000,995
0.01,5,2000,1140
0.01,5,5000,1072
0.01,10,4,955
0.01,10,5,1006
0.01,10,10,958
0.01,10,20,1093
0.01,10,50,999
0.01,10,100,928
0.01,10,200,1016
0.01,10,500,1001
0.01,10,1000,933
0.01,10,2000,1054
0.01,10,5000,1035
0.01,20,4,1001
0.01,20,5,1146
0.01,20,10,1046
0.01,20,20,1178
0.01,20,50,1065
0.01,20,100,911
0.01,20,200,1067
0.01,20,500,1075
0.01,20,1000,959
0.01,20,2000,1440
0.01,20,5000,1031
0.01,50,4,1010
0.01,50,5,1083
0.01,50,10,978
0.01,50,20,1045
0.01,50,50,1042
0.01,50,100,978
0.01,50,200,1056
0.01,50,500,1056
0.01,50,1000,979
0.01,50,2000,1125
0.01,50,5000,1147
0.01,100,4,978
0.01,100,5,991
0.01,100,10,2179
0.01,100,20,1063
0.01,100,50,1013
0.01,100,100,925
0.01,100,200,1049
0.01,100,500,1028
0.01,100,1000,944
0.01,100,2000,1025
0.01,100,5000,1159
0.01,200,4,1217
0.01,200,5,1172
0.01,200,10,990
0.01,200,20,1058
0.01,200,50,1034
0.01,200,100,950
0.01,200,200,1061
0.01,200,500,1044
0.01,200,1000,984
0.01,200,2000,1059
0.01,200,5000,1129
0.01,500,4,962
0.01,500,5,1052
0.01,500,10,949
0.01,500,20,1028
0.01,500,50,1161
0.01,500,100,31057
0.01,500,200,1052
0.01,500,500,990
0.01,500,1000,941
0.01,500,2000,1055
0.01,500,5000,1042
0.01,1000,4,985
0.01,1000,5,1021
0.01,1000,10,1326
0.01,1000,20,1106
0.01,1000,50,1062
0.01,1000,100,958
0.01,1000,200,1041
0.01,1000,500,1096
0.01,1000,1000,1017
0.01,1000,2000,1285
0.01,1000,5000,1062
0.01,2000,4,938
0.01,2000,5,987
0.01,2000,10,886
0.01,2000,20,1018
0.01,2000,50,963
0.01,2000,100,862
0.01,2000,200,1059
0.01,2000,500,940
0.01,2000,1000,912
0.01,2000,2000,1017
0.01,2000,5000,989
0.01,5000,4,1099
0.01,5000,5,1024
0.01,5000,10,970
0.01,5000,20,1080
0.01,5000,50,1044
0.01,5000,100,1127
0.01,5000,200,1213
0.01,5000,500,1025
0.01,5000,1000,975
0.01,5000,2000,1074
0.01,5000,5000,1108
0.1,1,4,1080
0.1,1,5,1087
0.1,1,10,970
0.1,1,20,1172
0.1,1,50,1105
0.1,1,100,985
0.1,1,200,1084
0.1,1,500,1058
0.1,1,1000,1013
0.1,1,2000,1100
0.1,1,5000,1126
0.1,2,4,967
0.1,2,5,984
0.1,2,10,956
0.1,2,20,996
0.1,2,50,1017
0.1,2,100,914
0.1,2,200,1052
0.1,2,500,1029
0.1,2,1000,1215
0.1,2,2000,1037
0.1,2,5000,1024
0.1,5,4,1070
0.1,5,5,1052
0.1,5,10,1012
0.1,5,20,1096
0.1,5,50,1082
0.1,5,100,1013
0.1,5,200,1126
0.1,5,500,1082
0.1,5,1000,1026
0.1,5,2000,1093
0.1,5,5000,1192
0.1,10,4,998
0.1,10,5,1012
0.1,10,10,964
0.1,10,20,1055
0.1,10,50,1007
0.1,10,100,926
0.1,10,200,1046
0.1,10,500,1016
0.1,10,1000,1122
0.1,10,2000,1053
0.1,10,5000,1233
0.1,20,4,1122
0.1,20,5,1035
0.1,20,10,1135
0.1,20,20,1091
0.1,20,50,1037
0.1,20,100,961
0.1,20,200,1133
0.1,20,500,1019
0.1,20,1000,960
0.1,20,2000,1066
0.1,20,5000,1072
0.1,50,4,1031
0.1,50,5,1070
0.1,50,10,1020
0.1,50,20,1111
0.1,50,50,1054
0.1,50,100,1086
0.1,50,200,1079
0.1,50,500,1082
0.1,50,1000,1011
0.1,50,2000,1087
0.1,50,5000,1100
0.1,100,4,979
0.1,100,5,1090
0.1,100,10,1207
0.1,100,20,1071
0.1,100,50,1025
0.1,100,100,977
0.1,100,200,1058
0.1,100,500,1026
0.1,100,1000,1103
0.1,100,2000,1071
0.1,100,5000,1088
0.1,200,4,1014
0.1,200,5,1015
0.1,200,10,989
0.1,200,20,1072
0.1,200,50,1045
0.1,200,100,956
0.1,200,200,1113
0.1,200,500,1031
0.1,200,1000,981
0.1,200,2000,1158
0.1,200,5000,1097
0.1,500,4,1096
0.1,500,5,1023
0.1,500,10,1019
0.1,500,20,1078
0.1,500,50,1366
0.1,500,100,933
0.1,500,200,1057
0.1,500,500,1043
0.1,500,1000,994
0.1,500,2000,1106
0.1,500,5000,1072
0.1,1000,4,1040
0.1,1000,5,1080
0.1,1000,10,999
0.1,1000,20,1154
0.1,1000,50,1041
0.1,1000,100,1001
0.1,1000,200,1076
0.1,1000,500,1106
0.1,1000,1000,999
0.1,1000,2000,1088
0.1,1000,5000,1088
0.1,2000,4,969
0.1,2000,5,1063
0.1,2000,10,925
0.1,2000,20,992
0.1,2000,50,1009
0.1,2000,100,914
0.1,2000,200,1203
0.1,2000,500,1271
0.1,2000,1000,919
0.1,2000,2000,1003
0.1,2000,5000,1015
0.1,5000,4,1042
0.1,5000,5,1017
0.1,5000,10,1023
0.1,5000,20,1081
0.1,5000,50,1052
0.1,5000,100,981
0.1,5000,200,1084
0.1,5000,500,1073
0.1,5000,1000,1014
0.1,5000,2000,1094
0.1,5000,5000,1183
0.2,1,4,897
0.2,1,5,934
0.2,1,10,862
0.2,1,20,975
0.2,1,50,943
0.2,1,100,855
0.2,1,200,967
0.2,1,500,936
0.2,1,1000,864
0.2,1,2000,1057
0.2,1,5000,1215
0.2,2,4,850
0.2,2,5,873
0.2,2,10,799
0.2,2,20,940
0.2,2,50,927
0.2,2,100,768
0.2,2,200,890
0.2,2,500,875
0.2,2,1000,851
0.2,2,2000,908
0.2,2,5000,905
0.2,5,4,917
0.2,5,5,942
0.2,5,10,893
0.2,5,20,1092
0.2,5,50,972
0.2,5,100,854
0.2,5,200,1007
0.2,5,500,977
0.2,5,1000,914
0.2,5,2000,1072
0.2,5,5000,984
0.2,10,4,863
0.2,10,5,890
0.2,10,10,819
0.2,10,20,958
0.2,10,50,895
0.2,10,100,1218
0.2,10,200,946
0.2,10,500,1048
0.2,10,1000,941
0.2,10,2000,927
0.2,10,5000,952
0.2,20,4,893
0.2,20,5,940
0.2,20,10,1055
0.2,20,20,953
0.2,20,50,928
0.2,20,100,814
0.2,20,200,965
0.2,20,500,926
0.2,20,1000,857
0.2,20,2000,954
0.2,20,5000,948
0.2,50,4,934
0.2,50,5,952
0.2,50,10,958
0.2,50,20,967
0.2,50,50,962
0.2,50,100,848
0.2,50,200,995
0.2,50,500,1054
0.2,50,1000,906
0.2,50,2000,1006
0.2,50,5000,1308
0.2,100,4,875
0.2,100,5,923
0.2,100,10,824
0.2,100,20,928
0.2,100,50,945
0.2,100,100,811
0.2,100,200,1036
0.2,100,500,933
0.2,100,1000,851
0.2,100,2000,974
0.2,100,5000,945
0.2,200,4,934
0.2,200,5,1013
0.2,200,10,868
0.2,200,20,955
0.2,200,50,953
0.2,200,100,852
0.2,200,200,973
0.2,200,500,944
0.2,200,1000,842
0.2,200,2000,975
0.2,200,5000,1018
0.2,500,4,908
0.2,500,5,922
0.2,500,10,838
0.2,500,20,954
0.2,500,50,1081
0.2,500,100,996
0.2,500,200,1037
0.2,500,500,947
0.2,500,1000,881
0.2,500,2000,946
0.2,500,5000,942
0.2,1000,4,927
0.2,1000,5,927
0.2,1000,10,881
0.2,1000,20,983
0.2,1000,50,943
0.2,1000,100,908
0.2,1000,200,963
0.2,1000,500,961
0.2,1000,1000,858
