x,kt2,mu2,time_per_call_ns
0.0001,1,4,3792
0.0001,1,5,3776
0.0001,1,10,3733
0.0001,1,20,3953
0.0001,1,50,3856
0.0001,1,100,4294
0.0001,1,200,3867
0.0001,1,500,4382
0.0001,1,1000,4117
0.0001,1,2000,3833
0.0001,1,5000,3988
0.0001,2,4,3877
0.0001,2,5,4141
0.0001,2,10,3936
0.0001,2,20,4022
0.0001,2,50,3824
0.0001,2,100,3855
0.0001,2,200,3929
0.0001,2,500,4223
0.0001,2,1000,3945
0.0001,2,2000,3973
0.0001,2,5000,3823
0.0001,5,4,3820
0.0001,5,5,3880
0.0001,5,10,3854
0.0001,5,20,4200
0.0001,5,50,34256
0.0001,5,100,3862
0.0001,5,200,3890
0.0001,5,500,4104
0.0001,5,1000,3842
0.0001,5,2000,4177
0.0001,5,5000,3889
0.0001,10,4,3958
0.0001,10,5,3751
0.0001,10,10,3816
0.0001,10,20,3902
0.0001,10,50,3952
0.0001,10,100,4260
0.0001,10,200,3917
0.0001,10,500,3795
0.0001,10,1000,4030
0.0001,10,2000,4210
0.0001,10,5000,3926
0.0001,20,4,3991
0.0001,20,5,4382
0.0001,20,10,3746
0.0001,20,20,3919
0.0001,20,50,4080
0.0001,20,100,3864
0.0001,20,200,3936
0.0001,20,500,4210
0.0001,20,1000,4417
0.0001,20,2000,3802
0.0001,20,5000,3886
0.0001,50,4,3881
0.0001,50,5,3748
0.0001,50,10,3778
0.0001,50,20,4352
0.0001,50,50,4029
0.0001,50,100,3787
0.0001,50,200,3781
0.0001,50,500,3853
0.0001,50,1000,3930
0.0001,50,2000,4222
0.0001,50,5000,3857
0.0001,100,4,3668
0.0001,100,5,3842
0.0001,100,10,3606
0.0001,100,20,3740
0.0001,100,50,3807
0.0001,100,100,5104
0.0001,100,200,3680
0.0001,100,500,3763
0.0001,100,1000,3983
0.0001,100,2000,3725
0.0001,100,5000,3794
0.0001,200,4,3904
0.0001,200,5,4227
0.0001,200,10,3708
0.0001,200,20,3747
0.0001,200,50,3935
0.0001,200,100,3854
0.0001,200,200,3719
0.0001,200,500,3654
0.0001,200,1000,4447
0.0001,200,2000,3869
0.0001,200,5000,3778
0.0001,500,4,3794
0.0001,500,5,3801
0.0001,500,10,3863
0.0001,500,20,3691
0.0001,500,50,4221
0.0001,500,100,3747
0.0001,500,200,3838
0.0001,500,500,3719
0.0001,500,1000,3830
0.0001,500,2000,3803
0.0001,500,5000,4054
0.0001,1000,4,3984
0.0001,1000,5,3764
0.0001,1000,10,3774
0.0001,1000,20,3840
0.0001,1000,50,3827
0.0001,1000,100,3904
0.0001,1000,200,4288
0.0001,1000,500,3677
0.0001,1000,1000,3827
0.0001,1000,2000,33084
0.0001,1000,5000,4022
0.0001,2000,4,3727
0.0001,2000,5,3716
0.0001,2000,10,4077
0.0001,2000,20,4085
0.0001,2000,50,3827
0.0001,2000,100,3827
0.0001,2000,200,3886
0.0001,2000,500,4023
0.0001,2000,1000,3969
0.0001,2000,2000,4332
0.0001,2000,5000,3818
0.0001,5000,4,3842
0.0001,5000,5,3777
0.0001,5000,10,3812
0.0001,5000,20,4128
0.0001,5000,50,4354
0.0001,5000,100,3796
0.0001,5000,200,3943
0.0001,5000,500,3936
0.0001,5000,1000,3846
0.0001,5000,2000,3792
0.0001,5000,5000,3825
0.001,1,4,4288
0.001,1,5,3731
0.001,1,10,3669
0.001,1,20,3985
0.001,1,50,4047
0.001,1,100,3942
0.001,1,200,4600
0.001,1,500,3892
0.001,1,1000,3995
0.001,1,2000,3885
0.001,1,5000,3923
0.001,2,4,3807
0.001,2,5,3777
0.001,2,10,4192
0.001,2,20,4019
0.001,2,50,3811
0.001,2,100,3837
0.001,2,200,3873
0.001,2,500,3929
0.001,2,1000,3799
0.001,2,2000,4168
0.001,2,5000,3852
0.001,5,4,3863
0.001,5,5,3711
0.001,5,10,3754
0.001,5,20,3782
0.001,5,50,3987
0.001,5,100,4141
0.001,5,200,3903
0.001,5,500,3784
0.001,5,1000,3918
0.001,5,2000,3819
0.001,5,5000,3864
0.001,10,4,4325
0.001,10,5,3796
0.001,10,10,3691
0.001,10,20,3897
0.001,10,50,3945
0.001,10,100,3910
0.001,10,200,3746
0.001,10,500,4288
0.001,10,1000,4024
0.001,10,2000,3807
0.001,10,5000,3937
0.001,20,4,4041
0.001,20,5,4128
0.001,20,10,3932
0.001,20,20,4198
0.001,20,50,3871
0.001,20,100,3860
0.001,20,200,3790
0.001,20,500,3882
0.001,20,1000,4007
0.001,20,2000,4238
0.001,20,5000,5126
0.001,50,4,3767
0.001,50,5,4004
0.001,50,10,33454
0.001,50,20,3887
0.001,50,50,4033
0.001,50,100,4106
0.001,50,200,3745
0.001,50,500,3919
